full breakdown is:
5aq2 1C-87-2C-5E-3A-F8 =346,175,657 bm
Origin 64-BC-55-79-8E-5E =67,604,847 bm
Bill Clittin 64-27-37-32-E0-47 =64,140,187 bm
Eco 18-C0-4D-08-CF-8F =42,510,249 bm
Ehwaz 60-67-20-EF-75-0C =39,358,005 bm
Crook 4C-CC-6A-8E-4F-56 =38,877,330 bm
Ink 18-5E-0F-6B-36-4F =35,573,520 bm
Bishop 1C-BF-C0-37-03-67 =32,873,954 bm
Perpetua 4C-1D-96-A7-47-1B =27,937,081 bm
Hollywood Ud 64-BC-58-83-92-67 =27,462,622 bm
Nesveikas 80-2B-F9-32-9A-67 =24,843,450 bm
Lano B0-7B-25-23-BE-FA =20,128,706 bm
Mvp 7C-B2-7D-BB-75-D8 =17,812,356 bm
Hitz C0-B6-F9-94-D6-26 =17,513,088 bm
Sense 74-4C-A1-D2-90-3D =17,203,771 bm
Izacos 08-ED-B9-22-E4-4D =16,044,936 bm
OUREVILSINS AC-D1-B8-31-90-1F =13,147,724 bm
Central Cee 98-EE-CB-C0-F2-87 =12,936,726 bm
Take It Eazi BC-30-7D-12-B4-AD =12,835,924 bm
THOUXAN B0-7B-25-23-BE-FA =12,192,772 bm
Itsdank 94-C6-91-0F-78-19 =11,003,904 bm
Anonymous 94-53-30-91-05-09 =10,242,384 bm
Huffy CC-2F-71-3C-51-4F =9,914,072 bm
Danny Jones B0-7B-25-23-BE-FA =8,640,443 bm
2319 70-85-C2-93-60-4D =8,272,170 bm
Simpling 00-D8-61-E6-E4-97 =7,914,414 bm
Vorpazor 0A-00-27-00-00-0E =7,681,902 bm
Vengeance 4C-CC-6A-CD-B1-49 =7,490,050 bm
Burn One 94-C6-91-0F-78-19 =7,470,652 bm
IRON BELL 4C-CC-6A-6B-06-E0 =7,442,592 bm
Fpk Merk 70-85-C2-B7-1A-39 =7,355,891 bm
Cookey D4-5D-64-D1-81-CA =7,058,719 bm
Im Cody Pvm 1C-4D-70-7A-75-AB =6,764,512 bm
Last 30-9C-23-5F-15-8F =6,758,593 bm
Respire 0A-00-27-00-00-11 =6,675,490 bm
Mynameisjeff 4C-CC-6A-8E-01-13 =6,590,170 bm
Tatos B8-81-98-87-80-48 =6,190,166 bm
Magistern 04-D9-F5-7D-6E-16 =6,189,165 bm
Str Pk 0 90-2B-34-F0-E2-7E =5,808,123 bm
Dubw A0-A8-CD-DD-5D-24 =5,795,220 bm
